time,zVel_E[0],zVel_N[1],vel_mps_E,vel_mps_N,gps_vel_mps_E,gps_vel_mps_N,vn_corr_mps_E,vn_corr_mps_N,rt_float_E,rt_float_N,P_Vel[0],P_Vel_N[1],
0.0000000,0.0000043,0.0024656,0.0000043,0.0124656,0.0000000,0.0100000,0.0000000,0.0000000,0.1772454,0.3885872,0.0160895,0.0426573,
0.0000000,0.0000043,0.0024362,0.0000043,0.0124362,0.0000000,0.0100000,0.0000000,0.0000000,0.1772454,0.3646916,0.0160236,0.0424026,
0.0000000,0.0000042,0.0104037,0.0000042,0.0124037,0.0000000,0.0020000,0.0000000,0.0000000,0.0792665,0.3820994,0.0159585,0.0421189,
0.0000000,0.0000041,0.0062788,0.0000041,0.0122788,0.0000000,0.0060000,0.0000000,0.0000000,0.1372937,0.3741657,0.0156447,0.0418653,
0.0000000,0.0000040,0.0072012,0.0000040,0.0122012,0.0000000,0.0050000,0.0000000,0.0000000,0.1253314,0.3660601,0.0155441,0.0416057,
0.0000000,0.0000040,-0.0068906,0.0000040,0.0121094,0.0000000,0.0190000,0.0000000,0.0000000,0.2443159,0.3687818,0.0154259,0.0413395,
0.0000000,0.0000039,0.0041949,0.0000039,0.0121949,0.0000000,0.0080000,0.0000000,0.0000000,0.1585331,0.3794733,0.0153952,0.0410822,
0.0000000,0.0000039,0.0031463,0.0000039,0.0121463,0.0000000,0.0090000,0.0000000,0.0000000,0.1681497,0.3847077,0.0153232,0.0408436,
0.0000000,0.0000039,0.0101112,0.0000039,0.0121112,0.0000000,0.0020000,0.0000000,0.0000000,0.0792665,0.3687818,0.0152599,0.0406153,
0.0000000,0.0000037,0.0089900,0.0000037,0.0119900,0.0000000,0.0030000,0.0000000,0.0000000,0.0970813,0.3885872,0.0149848,0.0403712,
0.0000000,0.0000036,0.0038940,0.0000036,0.0118940,0.0000000,0.0080000,0.0000000,0.0000000,0.1585331,0.3660601,0.0148095,0.0401551,
0.0000000,0.0000036,0.0008477,0.0000036,0.0118477,0.0000000,0.0110000,0.0000000,0.0000000,0.1858965,0.3949684,0.0147453,0.0399156,
0.0000000,0.0000036,0.0088392,0.0000036,0.0118392,0.0000000,0.0030000,0.0000000,0.0000000,0.0970813,0.3674235,0.0146991,0.0397133,
0.0000000,0.0000035,0.0017371,0.0000035,0.0117371,0.0000000,0.0100000,0.0000000,0.0000000,0.1772454,0.3687818,0.0145335,0.0394834,
0.0000000,0.0000035,-0.0052826,0.0000035,0.0117174,0.0000000,0.0170000,0.0000000,0.0000000,0.2310997,0.3714835,0.0144849,0.0392590,
0.0000000,0.0000035,0.0087758,0.0000035,0.0117758,0.0000000,0.0030000,0.0000000,0.0000000,0.0970813,0.3924283,0.0144565,0.0390416,
0.0000000,0.0000034,0.0086897,0.0000034,0.0116898,0.0000000,0.0030000,0.0000000,0.0000000,0.0970813,0.3687818,0.0142988,0.0388498,
0.0000000,0.0000033,0.0035944,0.0000033,0.0115944,0.0000000,0.0080000,0.0000000,0.0000000,0.1585331,0.3820994,0.0141462,0.0386360,
0.0000000,0.0000033,-0.0014420,0.0000033,0.0115580,0.0000000,0.0130000,0.0000000,0.0000000,0.2020908,0.3885872,0.0140903,0.0384400,
0.0000000,0.0000033,0.0095720,0.0000033,0.0115720,0.0000000,0.0020000,0.0000000,0.0000000,0.0792665,0.3728270,0.0140561,0.0382533,
0.0000000,0.0000032,-0.0065277,0.0000032,0.0114723,0.0000000,0.0180000,0.0000000,0.0000000,0.2377996,0.3885872,0.0138403,0.0380535,
0.0000000,0.0000032,-0.0014657,0.0000032,0.0115343,0.0000000,0.0130000,0.0000000,0.0000000,0.2020908,0.3924283,0.0138169,0.0378724,
0.0000000,0.0000032,-0.0074522,0.0000032,0.0115478,0.0000000,0.0190000,0.0000000,0.0000000,0.2443159,0.3898718,0.0137847,0.0376972,
0.0000000,0.0000031,0.0096168,0.0000031,0.0116168,0.0000000,0.0020000,0.0000000,0.0000000,0.0792665,0.3660601,0.0137628,0.0375222,
0.0000000,0.0000031,0.0075168,0.0000031,0.0115168,0.0000000,0.0040000,0.0000000,0.0000000,0.1120998,0.3741657,0.0135600,0.0373266,
0.0000000,0.0000030,0.0014427,0.0000030,0.0114427,0.0000000,0.0100000,0.0000000,0.0000000,0.1772454,0.3781534,0.0134618,0.0371423,
0.0000000,0.0000030,0.0034290,0.0000030,0.0114290,0.0000000,0.0080000,0.0000000,0.0000000,0.1585331,0.3507136,0.0134232,0.0369644,
0.0000000,0.0000030,0.0083913,0.0000030,0.0113913,0.0000000,0.0030000,0.0000000,0.0000000,0.0970813,0.3701351,0.0133753,0.0367608,
0.0000000,0.0000029,-0.0016907,0.0000029,0.0113093,0.0000000,0.0130000,0.0000000,0.0000000,0.2020908,0.3674235,0.0132502,0.0365808,
0.0000000,0.0000029,0.0063259,0.0000029,0.0113259,0.0000000,0.0050000,0.0000000,0.0000000,0.1253314,0.3701351,0.0132218,0.0364009,
0.0000000,0.0000029,-0.0037347,0.0000029,0.0112653,0.0000000,0.0150000,0.0000000,0.0000000,0.2170804,0.3420526,0.0131488,0.0362261,
0.0000000,0.0000029,0.0093067,0.0000029,0.0113067,0.0000000,0.0020000,0.0000000,0.0000000,0.0792665,0.3687818,0.0131248,0.0360246,
0.0000000,0.0000028,0.0022188,0.0000028,0.0112188,0.0000000,0.0090000,0.0000000,0.0000000,0.1681497,0.3741657,0.0129485,0.0358540,
0.0000000,0.0000028,0.0061986,0.0000028,0.0111986,0.0000000,0.0050000,0.0000000,0.0000000,0.1253314,0.3807887,0.0129103,0.0356905,
0.0000000,0.0000027,-0.0028554,0.0000027,0.0111446,0.0000000,0.0140000,0.0000000,0.0000000,0.2097196,0.3872983,0.0128424,0.0355347,
0.0000000,0.0000027,-0.0018316,0.0000027,0.0111684,0.0000000,0.0130000,0.0000000,0.0000000,0.2020908,0.3962322,0.0128184,0.0353861,
0.0000000,0.0000027,0.0001829,0.0000027,0.0111829,0.0000000,0.0110000,0.0000000,0.0000000,0.1858965,0.3860052,0.0127926,0.0352458,
0.0000000,0.0000027,0.0051814,0.0000027,0.0111814,0.0000000,0.0060000,0.0000000,0.0000000,0.1372937,0.3937004,0.0127625,0.0350998,
