Time, fMagVelBx, fMagVelBy, fMagVelBz, s_nZeroVelChkCnt, ZUPT_Run_Flag, ZUPT_FLAG 
109.534805,0.016357,4.635681,0.008476, 0, 0, 0
109.544807,0.016864,4.661969,0.013448, 0, 0, 0
109.554810,0.017605,4.687740,0.012779, 0, 0, 0
109.564804,0.013885,4.713760,0.014174, 0, 0, 0
109.574806,0.010241,4.740207,0.011607, 0, 0, 0
109.584808,0.011454,4.766431,0.013529, 0, 0, 0
109.594810,0.014535,4.792579,0.014011, 0, 0, 0
109.604805,0.014555,4.819409,0.018277, 0, 0, 0
109.614807,0.009176,4.846102,0.019698, 0, 0, 0
109.624809,0.006738,4.873688,0.019208, 0, 0, 0
109.634804,0.007549,4.901539,0.015082, 0, 0, 0
109.644806,0.009049,4.928322,0.013397, 0, 0, 0
109.654808,0.008489,4.954288,0.014790, 0, 0, 0
109.664810,0.005612,4.980864,0.016730, 0, 0, 0
109.674805,0.005694,5.008075,0.012721, 0, 0, 0
109.684807,0.005812,5.034294,0.010182, 0, 0, 0
109.694809,0.002416,5.058665,0.009634, 0, 0, 0
109.704803,0.000006,5.083854,0.010107, 0, 0, 0
109.714806,0.021329,4.535241,0.078036, 0, 0, 0
109.724808,0.014531,4.559234,0.009363, 0, 0, 0
109.734810,0.012681,4.582678,0.007570, 0, 0, 0
109.744804,0.006143,4.606069,0.006573, 0, 0, 0
109.754807,0.005620,4.629716,0.009182, 0, 0, 0
109.764809,0.007610,4.653153,0.010976, 0, 0, 0
109.774811,0.005678,4.677051,0.009397, 0, 0, 0
109.784805,0.002187,4.701396,0.006085, 0, 0, 0
109.794807,0.003115,4.725355,0.003800, 0, 0, 0
109.804810,0.005770,4.749147,0.004088, 0, 0, 0
109.814804,0.001947,4.771462,0.001648, 0, 0, 0
109.824806,0.003422,4.793365,0.000797, 0, 0, 0
109.834808,0.002288,4.816876,0.001288, 0, 0, 0
109.844810,0.000761,4.842133,0.000320, 0, 0, 0
109.854805,0.000669,4.866179,0.002790, 0, 0, 0
109.864807,0.002321,4.888525,0.010088, 0, 0, 0
109.874809,0.003943,4.911045,0.014348, 0, 0, 0
109.884804,0.005058,4.935014,0.016271, 0, 0, 0
109.894806,0.003521,4.958883,0.016742, 0, 0, 0
109.904808,0.001660,4.984083,0.017766, 0, 0, 0
109.914810,0.003403,5.009387,0.017515, 0, 0, 0
109.924805,0.003443,5.034194,0.018595, 0, 0, 0
109.934807,0.000571,5.058819,0.018546, 0, 0, 0
109.944809,0.000124,5.082738,0.021872, 0, 0, 0
109.954803,0.002848,5.106535,0.023233, 0, 0, 0
109.964806,0.012965,4.603107,0.056373, 0, 0, 0
109.974808,0.007423,4.626149,0.006448, 0, 0, 0
109.984810,0.004851,4.648926,0.007009, 0, 0, 0
109.994804,0.001448,4.670179,0.009159, 0, 0, 0
110.004807,0.003441,4.690642,0.010444, 0, 0, 0
110.014809,0.003432,4.710518,0.013282, 0, 0, 0
110.024803,0.000263,4.730911,0.014217, 0, 0, 0
110.034805,0.002381,4.752666,0.014239, 0, 0, 0
110.044807,0.001677,4.774244,0.010686, 0, 0, 0
110.054810,0.001044,4.795949,0.011709, 0, 0, 0
110.064804,0.002928,4.816237,0.017086, 0, 0, 0
110.074806,0.003130,4.837141,0.022864, 0, 0, 0
110.084808,0.001358,4.859367,0.023853, 0, 0, 0
110.094803,0.000193,4.882783,0.021896, 0, 0, 0
110.104805,0.002733,4.906405,0.019911, 0, 0, 0
110.114807,0.005350,4.928861,0.022282, 0, 0, 0
110.124809,0.003946,4.950769,0.024643, 0, 0, 0
110.134804,0.003758,4.971901,0.028163, 0, 0, 0
110.144806,0.005590,4.992093,0.031640, 0, 0, 0
110.154808,0.007609,5.012663,0.031955, 0, 0, 0
110.164810,0.007850,5.034383,0.029200, 0, 0, 0
110.174805,0.007139,5.055939,0.026478, 0, 0, 0
110.184807,0.008069,5.076313,0.028457, 0, 0, 0
110.194809,0.006622,5.096149,0.032468, 0, 0, 0
110.204803,0.006473,5.116196,0.038996, 0, 0, 0
110.214806,0.000169,4.660528,0.038534, 0, 0, 0
110.224808,0.004371,4.680549,0.027476, 0, 0, 0
110.234802,0.001871,4.701371,0.027946, 0, 0, 0
110.244804,0.000034,4.722665,0.028641, 0, 0, 0
110.254807,0.001894,4.743479,0.032509, 0, 0, 0
110.264809,0.003613,4.764157,0.034415, 0, 0, 0
110.274811,0.002593,4.783691,0.032703, 0, 0, 0
110.284805,0.006035,4.802302,0.034137, 0, 0, 0
110.294807,0.008659,4.820072,0.033908, 0, 0, 0
110.304810,0.004919,4.837520,0.037355, 0, 0, 0
110.314804,0.001205,4.855270,0.037773, 0, 0, 0
110.324806,0.002080,4.873383,0.040720, 0, 0, 0
110.334808,0.005963,4.890829,0.042438, 0, 0, 0
110.344803,0.005796,4.908209,0.044160, 0, 0, 0
110.354805,0.005959,4.925973,0.044761, 0, 0, 0
110.364807,0.006184,4.944250,0.046815, 0, 0, 0
110.374809,0.005161,4.963665,0.047332, 0, 0, 0
110.384804,0.005655,4.984436,0.050089, 0, 0, 0
110.394806,0.005283,5.005110,0.046458, 0, 0, 0
110.404808,0.006279,5.024189,0.046686, 0, 0, 0
110.414803,0.008511,5.041702,0.045247, 0, 0, 0
110.424805,0.010608,5.060368,0.044121, 0, 0, 0
110.434807,0.008597,5.079363,0.040515, 0, 0, 0
110.444809,0.004139,5.097275,0.038600, 0, 0, 0
110.454803,0.005691,5.114117,0.039151, 0, 0, 0
110.464806,0.004401,4.707088,0.042635, 0, 0, 0
110.474808,0.001823,4.721697,0.023065, 0, 0, 0
110.484802,0.001529,4.735878,0.023343, 0, 0, 0
110.494804,0.000318,4.751642,0.024359, 0, 0, 0
110.504807,0.003842,4.768476,0.026085, 0, 0, 0
110.514809,0.001261,4.785640,0.026359, 0, 0, 0
110.524811,0.002809,4.803149,0.027727, 0, 0, 0
110.534805,0.000018,4.819610,0.031338, 0, 0, 0
110.544807,0.001968,4.836096,0.033474, 0, 0, 0
110.554810,0.001525,4.853926,0.035098, 0, 0, 0
110.564804,0.000740,4.873302,0.033988, 0, 0, 0
110.574806,0.001016,4.891276,0.034806, 0, 0, 0
110.584808,0.002344,4.907106,0.039845, 0, 0, 0
110.594810,0.002838,4.923052,0.042772, 0, 0, 0
110.604805,0.001943,4.938879,0.044204, 0, 0, 0
110.614807,0.000448,4.954774,0.045570, 0, 0, 0
110.624809,0.000510,4.971395,0.048411, 0, 0, 0
110.634804,0.002159,4.987918,0.051750, 0, 0, 0
