time,gps->velocity_mps[0], gps->velocity_mps[1],gps->speed_mps, gps->speedAccur_mps,gps->heading_motion_rad, gps->headingAccur_rad,rt_float[0], rt_float[1],
0.0000000,2.6212475,-0.6556404,2.7019999,0.0940000,-1.8158929,0.0528152,0.0100000,0.0100000,
0.0000000,2.7638528,-0.7196206,2.8559999,0.0960000,-1.8255097,0.0523021,0.0100000,0.0100000,
108.2048035,2.8513553,-0.6699345,2.9289999,0.0970000,-1.8015637,0.0500932,0.0100000,0.0100000,
108.4548035,3.0386171,-0.7673083,3.1340001,0.1000000,-1.8181443,0.0480925,0.0100000,0.0100000,
108.7048035,3.1029928,-0.7312866,3.1880000,0.0970000,-1.8022444,0.0470778,0.0100000,0.0100000,
108.9548035,3.1239102,-0.7513687,3.2130001,0.0910000,-1.8068347,0.0451136,0.0100000,0.0100000,
109.2048035,3.1529162,-0.7060315,3.2309999,0.0940000,-1.7910918,0.0451127,0.0100000,0.0100000,
109.4548035,3.1520996,-0.7408855,3.2379999,0.0930000,-1.8016510,0.0464436,0.0100000,0.0100000,
109.7048035,3.1887789,-0.7377118,3.2730000,0.0930000,-1.7981429,0.0456955,0.0100000,0.0100000,
109.9548035,3.1586168,-0.7349751,3.2430000,0.0960000,-1.7994170,0.0496218,0.0100000,0.0100000,
110.2048035,3.1461916,-0.7740015,3.2400000,0.0960000,-1.8120183,0.0484444,0.0100000,0.0100000,
110.4548035,3.1875412,-0.7561468,3.2760000,0.0960000,-1.8037106,0.0496799,0.0100000,0.0100000,
110.7048035,3.1738787,-0.7911603,3.2709999,0.0950000,-1.8150901,0.0502613,0.0100000,0.0100000,
110.9548035,3.2009010,-0.8067433,3.3010001,0.0930000,-1.8176906,0.0507831,0.0100000,0.0100000,
111.2048035,3.2345335,-0.8286822,3.3390000,0.0950000,-1.8216002,0.0512629,0.0100000,0.0100000,
111.4548035,3.2047312,-0.8119933,3.3060000,0.1000000,-1.8189473,0.0536853,0.0100000,0.0100000,
111.7048035,3.2048221,-0.8396933,3.3130000,0.0960000,-1.8270456,0.0503112,0.0100000,0.0100000,
111.9548035,3.2578545,-0.8737928,3.3729999,0.1000000,-1.8328401,0.0507742,0.0100000,0.0100000,
112.2048035,3.2383051,-0.8771578,3.3550000,0.0970000,-1.8353183,0.0516652,0.0100000,0.0100000,
112.4548035,3.2630441,-0.9336910,3.3940001,0.1010000,-1.8494905,0.0513050,0.0100000,0.0100000,
112.7048035,3.2334340,-0.9244856,3.3629999,0.1050000,-1.8492811,0.0504629,0.0100000,0.0100000,
112.9548035,3.2066610,-1.0101334,3.3620000,0.0990000,-1.8759671,0.0496850,0.0100000,0.0100000,
113.2048035,3.2309594,-1.0327462,3.3920000,0.0960000,-1.8801733,0.0498009,0.0100000,0.0100000,
113.4548035,3.2313163,-1.0349121,3.3929999,0.0980000,-1.8807493,0.0505927,0.0100000,0.0100000,
113.7048035,3.2525499,-1.0952361,3.4319999,0.0970000,-1.8956021,0.0522452,0.1082821,0.1727266,
113.9548035,3.2932835,-1.0212682,3.4480000,0.0950000,-1.8714991,0.0501576,0.1041978,0.1675627,
114.2048035,3.2903521,-1.0406649,3.4510000,0.0950000,-1.8771191,0.0541572,0.1066804,0.1804844,
114.4548035,3.3582242,-0.9966640,3.5030000,0.0950000,-1.8592992,0.0505035,0.1040579,0.1717425,
114.7048035,3.3492744,-0.9846023,3.4909999,0.0950000,-1.8567163,0.0465425,0.0100000,0.0100000,
114.9548035,3.3478079,-0.8935362,3.4649999,0.1000000,-1.8316183,0.0498019,0.0100000,0.0100000,
115.2048035,3.3750565,-0.9638944,3.5100000,0.0960000,-1.8489844,0.0471454,0.0100000,0.0100000,
115.4548035,3.3597620,-0.9183078,3.4830000,0.0930000,-1.8376049,0.0481020,0.0100000,0.0100000,
115.7048035,3.3810968,-0.9198911,3.5039999,0.0940000,-1.8364354,0.0443661,0.0100000,0.0100000,
115.9548035,3.4782243,-0.9008906,3.5929999,0.0970000,-1.8242357,0.0449712,0.0100000,0.0100000,
116.2048035,3.5683753,-0.9316872,3.6880000,0.0950000,-1.8261904,0.0438332,0.0100000,0.0100000,
116.4548035,3.6655529,-0.9231043,3.7800000,0.0920000,-1.8174987,0.0381087,0.0100000,0.0100000,
116.7048035,3.7132769,-0.9505068,3.8329999,0.0930000,-1.8213907,0.0385817,0.0100000,0.0100000,
116.9548035,3.7090774,-0.9667644,3.8329999,0.0970000,-1.8257715,0.0393224,0.0100000,0.0100000,
117.2048035,3.7053490,-0.9612357,3.8280001,0.0920000,-1.8246195,0.0364800,0.0100000,0.0100000,
117.4548035,3.7379758,-0.9628790,3.8599999,0.0960000,-1.8229091,0.0387025,0.0100000,0.0100000,
117.7048035,3.7519050,-0.9364288,3.8670001,0.0980000,-1.8153868,0.0414575,0.0100000,0.0100000,
